linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
183;;;endereco;Avenida Doutor Antônio Maria Laet, 851A, Tucuruvi, São Paulo - SP, 02240-000, Brasil;Avenida Doutor Antonio Maria Laet 851A Sao Paulo SP 02240000 Brazil;São Paulo;SP;02240000;-23.47436;-46.59944;-23.47436;-46.59944;Tucuruvi;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
184;;;endereco;Avenida Piracema, Tamboré, Barueri - SP, 06460-030, Brasil;Avenida Piracema Tambore Barueri SP 06460030 Brazil;Barueri;SP;06460030;-23.50427;-46.83268;-23.50427;-46.83268;;ALTO;sem numero de porta
185;;;endereco;Lojas Pernambucanas, Avenida dos Autonomistas, 1400, Industrial Autonomistas, Osasco - SP, Brasil;Avenida dos Autonomistas 1400 Osasco SP Brazil;Osasco;SP;;-23.54116;-46.76644;-23.54116;-46.76644;Industrial Autonomistas;;
186;;;endereco;Samsonite, Vila Formosa, São Paulo - SP, 03342-000, Brasil;Vila Formosa Sao Paulo SP 03342000 Brazil;São Paulo;SP;03342000;-23.56151;-46.56044;-23.56151;-46.56044;;ALTO;"sem numero de porta; CEP generico de cidade, nao de rua (2,4x mais falha)"
187;;;endereco;Avenida Brasil, 3647, São Cristóvão, Cascavel - PR, 85816-302, Brasil;Avenida Brasil 3647 Cascavel PR 85816302 Brazil;Cascavel;PR;85816302;-24.94678;-53.43492;-24.94678;-53.43492;São Cristóvão;;
188;;;endereco;SUBWAY, Tibery, Uberlândia - MG, 38405-142, Brasil;SUBWAY Tibery Uberlandia MG 38405142 Brazil;Uberlândia;MG;38405142;-18.91042;-48.26049;-18.91042;-48.26049;;ALTO;sem numero de porta
189;;;endereco;Estrada do Monteiro, 1200, Campo Grande, Rio de Janeiro - RJ, 23045-830, Brasil;Estrada do Monteiro 1200 Rio de Janeiro RJ 23045830 Brazil;Rio de Janeiro;RJ;23045830;-22.92855;-43.57369;-22.92855;-43.57369;Campo Grande;ALTO;endereco de rodovia (57-67% falharam)
190;;;endereco;Avenida Aprígio Bezerra da Silva, Taboão da Serra - SP, 06763-040, Brasil;Avenida Aprigio Bezerra da Silva Taboao da Serra SP 06763040 Brazil;Taboão da Serra;SP;06763040;-23.60838;-46.76754;-23.60838;-46.76754;;ALTO;sem numero de porta
191;;;endereco;Avenida Marechal Floriano Peixoto, 109, Gonzaga, Santos - SP, 11060-301, Brasil;Avenida Marechal Floriano Peixoto 109 Santos SP 11060301 Brazil;Santos;SP;11060301;-23.96701;-46.33676;-23.96701;-46.33676;Gonzaga;;
192;;;endereco;Set Computadores, Rua Pacífico Mascarenhas, Santa Efigênia, Belo Horizonte - MG, 30260-010, Brasil;Rua Pacifico Mascarenhas Santa Efigenia Belo Horizonte MG 30260010 Brazil;Belo Horizonte;MG;30260010;-19.92075;-43.92061;-19.92075;-43.92061;;ALTO;sem numero de porta
193;;;endereco;Pólo Uk, Santa Luíza, Varginha - MG, Brasil;Polo Uk Santa Luiza Varginha MG Brazil;Varginha;MG;;-21.57113;-45.44879;-21.57113;-45.44879;;ALTO;sem numero de porta
194;;;endereco;Montana Grill, Rua Domingos de Morais, Vila Mariana, São Paulo - SP, 04036-100, Brasil;Rua Domingos de Morais Vila Mariana Sao Paulo SP 04036100 Brazil;São Paulo;SP;04036100;-23.59944;-46.637;-23.59944;-46.637;;ALTO;sem numero de porta
195;;;endereco;Renova Câmbio, Avenida T-15, Jardim América, Goiânia - GO, 74230-010, Brasil;Avenida T 15 Jardim America Goiania GO 74230010 Brazil;Goiânia;GO;74230010;-16.7078;-49.27323;-16.7078;-49.27323;;ALTO;sem numero de porta
196;;;endereco;Avenida Professor Miguel Franchini Neto, 200, Jaraguá, São Paulo - SP, 02998-050, Brasil;Avenida Professor Miguel Franchini Neto 200 Sao Paulo SP 02998050 Brazil;São Paulo;SP;02998050;-23.444;-46.72652;-23.444;-46.72652;Jaraguá;;
197;;;endereco;Avenida Paulista, 2064, Consolação, São Paulo - SP, 01310-200, Brasil;Avenida Paulista 2064 Sao Paulo SP 01310200 Brazil;São Paulo;SP;01310200;-23.55831;-46.65948;-23.55831;-46.65948;Consolação;;
198;;;endereco;Americanflex, Av Pres Juscelino K de Oliveira, 5000, São José do Rio Preto - SP, 15091-450, Brasil;Avenida Pres Juscelino K de Oliveira 5000 Sao Jose do Rio Preto SP 15091450 Brazil;São José do Rio Preto;SP;15091450;-20.86652;-49.41474;-20.86652;-49.41474;;;
199;;;endereco;KARG, Avenida Presidente Carlos Luz, 3001, Caiçaras, Belo Horizonte - MG, 31250-010, Brasil;Avenida Presidente Carlos Luz 3001 Belo Horizonte MG 31250010 Brazil;Belo Horizonte;MG;31250010;-19.89018;-43.96805;-19.89018;-43.96805;Caiçaras;;
200;;;endereco;Banco 24horas, Parque dos Rodoviários, Campos dos Goytacazes - RJ, Brasil;Banco 24horas Parque dos Rodoviarios Campos dos Goytacazes RJ Brazil;Campos dos Goytacazes;RJ;;-21.75374;-41.34403;-21.75374;-41.34403;;ALTO;sem numero de porta
201;;;endereco;Live, Avenida Cândido de Abreu, 127, Centro Cívico, Curitiba - PR, 80530-000, Brasil;Avenida Candido de Abreu 127 Curitiba PR 80530000 Brazil;Curitiba;PR;80530000;-25.42359;-49.27043;-25.42359;-49.27043;Centro Cívico;MEDIO;CEP generico de cidade, nao de rua (2,4x mais falha)
