name,storechain,place_id,formatted_address,city,admin_area,uf,country,cep,lat,lng,categories,types,rating,source,metadata,Nº,Praça,Formato,Veículo,Endereço,Latitude,Longitude
,,,"Rua General Roca, 815, Tijuca, Rio de Janeiro - RJ, 20521-070, Brasil",Rio de Janeiro,,RJ,,20521-070,-22.92448,-43.23405,,,,,,815,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua General Roca,-22.9245415,-43.2341322
,,,"Rua Voluntários da Pátria, 24, Botafogo, Rio de Janeiro - RJ, 22270-000, Brasil",Rio de Janeiro,,RJ,,22270-000,-22.95061,-43.18252,,,,,,20,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Voluntários da Pátria,-22.9505795,-43.1824868
,,,"Rua Araújo Porto Alegre, Centro, Rio de Janeiro - RJ, 20030-015, Brasil",Rio de Janeiro,,RJ,,20030-015,-22.90852,-43.17356,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Araújo Porto Alegre,-22.9085126,-43.1735628
,,,"Rua Uruguaiana, 55, Centro, Rio de Janeiro - RJ, 20050-094, Brasil",Rio de Janeiro,,RJ,,20050-094,-22.90441,-43.18005,,,,,,55,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua Uruguaiana,-22.9044704,-43.1801048
,,,"Casa Villarino, Avenida Calógeras, 6, Centro, Rio de Janeiro - RJ, 20030-070, Brasil",Rio de Janeiro,,RJ,,20030-070,-22.91125,-43.17297,,,,,,164,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Presidente Wilson,-22.9111883,-43.1729188
,,,"Avenida Rio Branco, 18, Centro, Rio de Janeiro - RJ, 20090-000, Brasil",Rio de Janeiro,,RJ,,20090-000,-22.89852,-43.18033,,,,,,18,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Rio Branco,-22.8985518,-43.1803516
,,,"Avenida República do Paraguai, 520D, Centro, Rio de Janeiro - RJ, 20031-180, Brasil",Rio de Janeiro,,RJ,,20031-180,-22.90975,-43.17995,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida República do Paraguai,-22.9098855,-43.1800398
,,,"Avenida Presidente Antônio Carlos, Centro, Rio de Janeiro - RJ, 20020-010, Brasil",Rio de Janeiro,,RJ,,20020-010,-22.90454,-43.17434,,,,,,S/N,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Rua São José,-22.9045246,-43.1743007
,,,"Avenida Vieira Souto, 140, Ipanema, Rio de Janeiro - RJ, 22420-002, Brasil",Rio de Janeiro,,RJ,,22420-002,-22.98663,-43.19801,,,,,,130,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Vieira Souto,-22.9868799,-43.1980223
,,,"Praça Khalil Gibran Khalil, Avenida Epitácio Pessoa, Lagoa, Rio de Janeiro - RJ, 22410-090, Brasil",Rio de Janeiro,,RJ,,22410-090,-22.98015,-43.21459,,,,,,732,Rio de Janeiro,Mix de Formatos,ELETROMIDIA,Avenida Borges De Medeiros,-22.98,-43.2146944
