linha;nome;categoria;origem;endereco_original;endereco_dsp;cidade;uf;cep;lat_original;lon_original;lat_corrigida;lon_corrigida;bairro_descartado;severidade;risco
76;FORT FORTALEZA;;reenviado (ja aprovado pela DSP);60192-024 Av. Santos Dumont 7580 coco CE Fortaleza;Av Santos Dumont 7580 coco Fortaleza CE 60192024 Brazil;Fortaleza;CE;60192024;-37.457.722;-384.690.107;-3.745772;-38.469011;;;
77;FORT JUAZEIRO;;reenviado (ja aprovado pela DSP);63050-423 Av. Padre Cícero 4747 São José CE Juazeiro do Norte;Av Padre Cicero 4747 Sao Jose Juazeiro do Norte CE 63050423 Brazil;Juazeiro do Norte;CE;63050423;-7.227.830.200.000.000;-393.507.558;-7.22783;-39.350756;;;
78;FORT MOSSORO;;reenviado (ja aprovado pela DSP);59619-000 Avenida Lauro Monte 80 Abolição RN Mossoró;Avenida Lauro Monte 80 Abolicao Mossoro RN 59619000 Brazil;Mossoró;RN;59619000;-51.711.263;-373.476.471;-5.171126;-37.347647;;;
79;GLOBO BALNEÁRIO CAMBORIÚ;;endereco;88330-663 Av. do Estado Dalmo Vieira 5101 Centro SC Balneário Camboriú;Avenida do Estado Dalmo Vieira 5101 Balneario Camboriu SC 88330663 Brazil;Balneário Camboriú;SC;88330663;-269.985.956;-4.864.528.929.999.990;-26.998596;-48.645289;Centro;;
80;GLOBO CURITIBA;;reenviado (ja aprovado pela DSP);80045-125 Rua XV de Novembro 2300 ALTO DA RUA XV PR Curitiba;Rua XV de Novembro 2300 ALTO DA RUA XV Curitiba PR 80045125 Brazil;Curitiba;PR;80045125;-254.271.569;-49.251.912;-25.427157;-49.251912;;;
81;GLOBO FLORIANÓPOLIS;;reenviado (ja aprovado pela DSP);88070-800 Rua General Liberato Bittencourt 1475 Estreito SC Florianópolis;Rua General Liberato Bittencourt 1475 Estreito Florianopolis SC 88070800 Brazil;Florianópolis;SC;88070800;-275.868.887;-485.814.047;-27.586889;-48.581405;;;
82;GLOBO ITAJAI;;reenviado (ja aprovado pela DSP);88306-000 Rod. Osvaldo Reis 460 FAZENDINHA SC Itajaí;Rod Osvaldo Reis 460 FAZENDINHA Itajai SC 88306000 Brazil;Itajaí;SC;88306000;-269.267.363;-486.470.726;-26.926736;-48.647073;;;
83;GLOBO S J PINHAIS;;reenviado (ja aprovado pela DSP);83005-450 Av. das Torres 2344 SÃO PEDRO PR São José dos Pinhais;Av das Torres 2344 SAO PEDRO Sao Jose dos Pinhais PR 83005450 Brazil;São José dos Pinhais;PR;83005450;-255.434.301;-49.191.735;-25.54343;-49.191735;;;
84;GLOBO SAO JOSE;;reenviado (ja aprovado pela DSP);88102-650 Rua Joaquim Vaz 1615 PRAIA COMPRIDA SC São José;Rua Joaquim Vaz 1615 PRAIA COMPRIDA Sao Jose SC 88102650 Brazil;São José;SC;88102650;-276.043.811;-48.622.301;-27.604381;-48.622301;;;
85;GRAND PREMIER BRASILIA;;endereco;71200-010 Sia Sul Trecho 02 Lotes 90 a 170 90 SETOR DE INDUSTRIA DF Brasília;Sia Sul Trecho 02 Brasilia DF 71200010 Brazil;Brasília;DF;71200010;-158.079.351;-479.621.832;-15.807935;-47.962183;Lotes 90 a 170 90 SETOR DE INDUSTRIA;;
86;GRANJAPAN PETROLINA;;reenviado (ja aprovado pela DSP);56304-160 Av. Monsenhor Angelo Sampaio 218 CENTRO PE Petrolina;Av Monsenhor Angelo Sampaio 218 CENTRO Petrolina PE 56304160 Brazil;Petrolina;PE;56304160;-93.949.237;-404.898.073;-9.394924;-40.489807;;;
